MEM,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price ,Pur Vol No Promo ,Pur Vol Promo 6,Pur Vol Other Promo ,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15, maxBrCd 
1057410,4,3,10,2,3,3,8,3,0,2,3,17,13950,31,1290.5,1.82,450,9.25,1,0,0,0.18,0.32,0,0,0,0,0,0,0.5,0.01,0.66,0.32,0.01,0.24,0.44,0,0,0,0,0,0,0,0.32,0,0.323
1057500,3,3,4,2,3,4,5,2,1,10,3,12,16100,27,1549,2.25,596.3,9.62,0.91,0,0.09,0.29,0.29,0,0,0,0,0,0,0.42,0,0.71,0.29,0,0.44,0.04,0.2,0,0,0,0,0,0,0.29,0.04,0.292
1057510,4,3,10,2,3,4,8,2,1,13,3,10,24560,46,1951,4.6,533.91,7.94,0.98,0,0.02,0.13,0.34,0,0,0,0,0,0,0.53,0.18,0.16,0.34,0.33,0.48,0,0,0,0.18,0,0,0,0,0.34,0,0.342
1057550,4,3,17,2,3,3,9,3,0,7,4,24,16225,33,1488,1.38,491.67,9.17,0.74,0.23,0.03,0.03,0.11,0.05,0,0,0,0,0,0.82,0.17,0.7,0.11,0.02,0.72,0,0.05,0.07,0,0,0,0,0,0.11,0.05,0.111
1057580,4,3,10,2,2,3,5,2,2,11,3,21,11775,35,1058.5,1.67,336.43,8.99,0.95,0.05,0,0.12,0.06,0,0,0,0,0,0,0.82,0.27,0.2,0.13,0.4,0.55,0.03,0.08,0,0.19,0,0,0,0,0.13,0.03,0.119
1057800,4,3,8,2,2,4,5,4,1,15,5,23,16975,44,1649,1.91,385.8,9.71,0.9,0.1,0,0.04,0,0.01,0.04,0,0.04,0,0,0.89,0.06,0.7,0.02,0.22,0.8,0.1,0,0.05,0,0,0.04,0,0,0.02,0,0.035
1057930,4,3,5,2,1,5,7,1,1,27,5,34,19425,55,3079.5,1.62,353.18,15.85,0.95,0.02,0.04,0.02,0,0,0.02,0.09,0,0,0.14,0.73,0.55,0.37,0.02,0.06,0.15,0.52,0.05,0.01,0.05,0.02,0,0.01,0.18,0.02,0.01,0.143
1058000,4,3,15,2,3,4,5,3,1,11,4,11,11450,28,1179,2.55,408.93,10.3,0.95,0,0.05,0.14,0,0,0,0,0.01,0.07,0,0.78,0.03,0.97,0,0,0.89,0,0.07,0,0.03,0,0.01,0,0,0,0,0.14
1058010,3,3,15,2,2,5,4,1,1,13,4,30,12000,62,1331,2.07,193.55,11.09,0.91,0.05,0.04,0.04,0,0,0,0,0.01,0.12,0,0.84,0.12,0.7,0.02,0.17,0.4,0.03,0.42,0.06,0.08,0,0.01,0,0,0.02,0,0.117
1058190,4,3,10,2,2,5,5,2,1,8,3,18,9950,43,834.5,2.39,231.4,8.39,0.78,0.13,0.08,0.05,0.14,0,0,0,0,0,0,0.81,0.17,0.19,0.14,0.51,0.57,0,0,0.05,0.17,0,0,0,0,0.14,0.07,0.136
1058350,4,3,10,2,2,1,5,2,0,4,3,5,16800,24,1067.5,4.8,700,6.35,1,0,0,0.13,0.84,0,0,0,0,0,0,0.03,0,0.13,0.84,0.03,0.16,0,0,0,0,0,0,0,0,0.84,0,0.839
1058370,3,1,10,2,3,4,4,3,1,7,4,12,14375,36,1382,3,399.31,9.61,1,0,0,0.17,0.23,0,0,0,0,0.1,0,0.51,0.23,0.54,0.23,0,0.45,0,0.1,0,0.22,0,0,0.01,0,0.23,0,0.23
1060050,3,3,10,1,4,3,4,4,1,14,4,16,15050,26,1570.5,1.63,578.85,10.44,1,0,0,0,0.12,0.14,0.25,0,0,0,0,0.49,0.02,0.82,0.16,0,0.4,0.28,0,0.14,0.02,0,0,0,0,0.16,0,0.252
1060130,2,3,5,2,4,2,4,4,1,25,2,15,19400,59,1524.5,3.93,328.81,7.86,0.49,0.42,0.1,0,0.2,0,0,0,0,0,0,0.8,0.25,0.06,0.22,0.47,0.58,0.03,0,0,0.19,0,0,0,0,0.21,0,0.201
1060150,4,2,10,2,4,1,5,4,1,17,3,17,21150,22,2012,1.29,961.36,9.51,0.64,0.37,0,0,0,0.01,0,0,0.13,0,0,0.86,0.26,0.24,0,0.5,0.72,0.06,0,0.1,0,0,0.13,0,0,0,0,0.128
1060230,3,3,10,2,3,5,5,4,1,18,4,18,9600,41,1537.5,2.28,234.15,16.02,0.98,0.02,0,0.04,0,0.2,0.03,0,0,0,0.2,0.52,0.71,0.29,0,0,0.07,0.29,0.2,0.44,0,0,0,0,0,0,0,0.203
1060260,4,3,10,2,3,4,8,2,1,12,5,30,14225,93,1541,3.1,152.96,10.83,0.98,0.02,0,0.04,0.25,0.03,0,0,0.16,0,0,0.52,0.23,0.5,0.25,0.01,0.18,0.04,0.18,0.03,0.16,0,0.16,0,0,0.25,0,0.253
1060330,3,3,10,2,3,4,3,4,2,8,3,4,7650,15,459,3.75,510,6,0.98,0,0.02,0,0.94,0,0,0.02,0,0,0,0.04,0.02,0,0.98,0,0,0,0,0,0,0,0,0,0.02,0.98,0,0.941
1060370,4,3,10,2,3,4,6,2,1,19,9,62,16025,138,1706,2.23,116.12,10.65,0.95,0.05,0.01,0.08,0.2,0.03,0.04,0.01,0.01,0.14,0.01,0.48,0.29,0.45,0.2,0.07,0.33,0.03,0.19,0.09,0.13,0,0.02,0,0.01,0.2,0,0.197
1060420,4,3,10,2,4,4,5,4,1,12,5,21,8850,38,982.5,1.81,232.89,11.1,0.98,0,0.02,0,0.02,0.01,0.29,0,0,0,0.04,0.64,0.21,0.73,0.07,0,0.48,0.33,0,0.01,0.11,0,0,0,0,0.07,0,0.294
1060590,4,3,10,2,4,3,6,4,1,11,2,20,15425,43,1380.5,2.15,358.72,8.95,0.73,0.27,0,0,0,0,0.03,0,0,0,0,0.97,0.08,0.04,0,0.88,0.68,0,0,0.24,0.08,0,0,0,0,0,0,0.026
1060640,3,3,10,2,4,4,5,4,1,17,5,27,15675,88,2123.5,3.26,178.13,13.55,0.97,0,0.03,0,0.08,0,0.27,0.09,0,0,0.15,0.42,0.45,0.43,0.09,0.03,0.28,0.23,0.15,0.02,0.12,0,0,0,0.11,0.09,0,0.268
1060650,4,1,10,2,4,3,6,4,1,13,2,9,14660,22,1540.8,2.44,666.36,10.51,1,0,0,0,0,0,0.77,0,0,0,0,0.23,0.05,0.95,0,0,0.96,0,0.01,0,0,0,0,0,0,0,0.04,0.771
1060720,2,3,9,2,4,5,7,4,1,25,5,19,34025,96,5707,5.05,354.43,16.77,1,0,0,0.05,0,0,0,0.24,0.06,0,0.02,0.63,0.58,0.42,0,0,0.1,0.38,0,0.02,0.2,0,0.06,0,0.24,0,0,0.242
1060760,1,3,10,2,3,7,6,2,1,16,2,18,22900,32,2856.75,1.78,715.63,12.47,0.97,0.02,0.01,0.48,0,0,0,0,0,0,0,0.52,0.25,0.64,0,0.11,0.82,0,0.01,0.14,0,0.03,0,0,0,0,0,0.48
1060810,4,3,10,2,3,4,6,2,1,9,2,14,25875,45,1958,3.21,575,7.57,0.83,0.02,0.15,0,0.69,0,0,0,0,0,0,0.31,0.22,0.04,0.74,0,0.03,0.06,0,0,0.2,0,0,0,0,0.71,0,0.69
1060920,3,3,17,2,4,5,5,4,1,13,3,14,40475,27,4353,1.93,1499.07,10.75,0.99,0.01,0,0.63,0,0,0,0,0,0,0,0.36,0.05,0.94,0,0.01,0.96,0,0,0.01,0,0.03,0,0,0,0,0,0.632
1060980,4,1,4,2,3,4,4,4,1,13,3,17,11025,33,1482,1.94,334.09,13.44,0.98,0,0.02,0.66,0,0,0,0,0,0.05,0,0.28,0.42,0.56,0,0.03,0.82,0,0.14,0,0,0.03,0,0,0,0,0,0.664
1061080,2,3,10,2,3,5,5,2,1,22,3,17,8700,36,1179.5,2.12,241.67,13.56,0.95,0.05,0,0.36,0,0,0,0,0.21,0,0,0.37,0.33,0.68,0,0,0.48,0.01,0,0.26,0,0.03,0.22,0,0,0,0,0.356
1061130,4,3,16,2,4,2,6,1,1,10,4,12,17950,32,2204.5,2.67,560.94,12.28,0.94,0.05,0.01,0.03,0,0.01,0,0,0,0,0,0.98,0.72,0.28,0,0,0.08,0.02,0.88,0.01,0,0,0,0,0,0,0,0.033
1061180,3,3,10,2,3,5,6,4,1,28,3,27,20875,65,2085.5,2.41,321.15,9.99,0.92,0.08,0,0,0,0.03,0,0,0.04,0,0,0.94,0.37,0.18,0,0.45,0.56,0.04,0.17,0.04,0.16,0,0.04,0,0,0,0,0.04
1061310,2,3,10,2,4,5,5,1,1,16,6,27,17900,44,2274.75,1.63,406.82,12.71,1,0,0,0.03,0,0.1,0.02,0.01,0,0,0.01,0.84,0.19,0.81,0,0,0.18,0.62,0.01,0.1,0.03,0.05,0,0.01,0.01,0,0,0.096
1061380,1,1,4,2,3,6,4,4,1,37,3,4,7575,19,1491,4.75,398.68,19.68,0.94,0.06,0,0.86,0,0,0,0.06,0,0,0,0.08,0.95,0.05,0,0,0.91,0,0,0,0,0.03,0,0,0.06,0,0,0.861
1061400,3,3,10,2,3,5,4,2,1,19,5,15,7475,25,921,1.67,299,12.32,0.87,0.12,0.01,0.43,0.02,0.06,0,0,0,0,0.02,0.47,0.26,0.6,0.14,0,0.55,0.03,0,0.21,0,0.07,0,0,0,0.14,0,0.428
1061500,4,0,0,0,1,0,0,5,0,0,1,1,4800,11,272,11,436.36,5.67,0.63,0,0.38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1061580,1,1,4,2,3,8,3,2,1,53,2,14,6100,32,1887,2.29,190.63,30.93,0.77,0.18,0.05,0.04,0,0,0,0,0,0,0,0.96,0.89,0.09,0,0.03,0.1,0.22,0,0,0,0.68,0,0,0,0,0,0.037
1061660,3,3,10,2,3,5,4,4,1,15,4,14,12100,31,1079,2.21,390.32,8.92,0.97,0.04,0,0.04,0.12,0,0.01,0,0,0,0,0.83,0.03,0.68,0.29,0,0.1,0.68,0,0,0,0,0,0,0,0.22,0,0.124
1061700,4,3,10,2,2,5,4,1,0,1,5,23,7225,35,755.5,1.52,206.43,10.46,0.92,0.03,0.05,0.22,0.17,0,0,0,0.07,0,0.04,0.5,0.13,0.65,0.17,0.06,0.37,0.11,0.06,0.04,0.11,0,0.07,0.02,0,0.17,0.05,0.221
1061730,2,1,10,2,3,2,4,2,1,14,5,17,12475,38,1366,2.24,328.29,10.95,1,0,0,0.08,0,0,0.63,0,0,0.01,0.01,0.28,0.19,0.81,0,0,0.76,0.02,0.22,0,0,0,0,0,0,0,0,0.625
1061820,3,3,10,2,4,4,5,4,2,13,1,5,22800,24,1651,4.8,950,7.24,0.83,0.17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1061830,4,3,10,2,3,1,3,4,2,9,2,5,16600,24,1248.5,4.8,691.67,7.52,1,0,0,0.11,0,0,0,0,0,0,0,0.89,0,0.11,0,0.89,1,0,0,0,0,0,0,0,0,0,0,0.108
1061940,4,3,10,2,3,1,9,2,1,23,2,6,15300,29,958,4.83,527.59,6.26,0.67,0.14,0.19,0,0.64,0,0,0,0,0,0,0.36,0.03,0,0.64,0.33,0.34,0,0,0,0.02,0,0,0,0,0.64,0,0.637
1062120,4,3,10,2,4,5,6,2,0,3,1,5,11900,25,1242.5,5,476,10.44,1,0,0,0,0,0,0,0,0,0,0,1,0.01,0.99,0,0,0.99,0,0,0,0,0,0,0,0.01,0,0,0
1062220,4,3,10,2,2,4,5,2,1,4,3,17,12075,36,924.5,2.12,335.42,7.66,1,0,0,0.27,0.48,0,0,0,0,0,0,0.24,0.02,0.36,0.59,0.03,0.37,0.04,0,0,0,0,0,0,0,0.59,0,0.484
1062270,3,3,6,2,3,4,4,2,1,15,3,6,16400,52,3517.5,8.67,315.38,21.45,0.98,0,0.02,0,0,0,0,0.33,0,0,0.46,0.21,0.99,0.01,0,0,0.06,0.46,0,0,0,0,0,0,0.49,0,0,0.457
1062310,4,2,10,2,3,1,5,2,0,10,2,8,10575,23,663.5,2.88,459.78,6.27,1,0,0,0,0.78,0,0,0,0,0,0,0.22,0,0.06,0.89,0.06,0.06,0.06,0,0,0,0,0,0,0,0.89,0,0.78
1065040,4,3,10,1,3,5,5,2,2,15,4,22,7115,34,546.5,1.55,209.26,7.68,1,0,0,0,0.53,0,0,0,0,0.01,0.02,0.44,0.1,0.12,0.75,0.04,0.07,0.29,0.01,0.01,0.03,0,0.01,0,0,0.56,0.01,0.527
1065080,4,3,10,2,2,5,4,2,2,13,2,7,9675,25,831,3.57,387,8.59,0.6,0.37,0.03,0,0,0,0,0,0,0,0.02,0.98,0.16,0,0,0.84,0.96,0.02,0.01,0.02,0,0,0,0,0,0,0,0.016
1065100,3,3,10,2,3,5,4,2,2,17,7,22,9175,33,1037,1.5,278.03,11.3,0.98,0.02,0,0.26,0,0.05,0.2,0,0.01,0.07,0.03,0.4,0.19,0.8,0,0.01,0.61,0.05,0.27,0.05,0,0,0.01,0,0,0,0.02,0.262
1065160,2,1,4,1,3,5,3,4,1,20,4,9,9325,25,1174.5,2.78,373,12.6,0.79,0.2,0.02,0.06,0,0.45,0,0,0,0.39,0,0.11,0.09,0.87,0,0.04,0.1,0,0.39,0.52,0,0,0,0,0,0,0,0.45
1065340,4,0,0,0,2,0,0,5,0,0,2,2,300,2,34,1,150,11.33,1,0,0,0.67,0,0,0,0,0,0,0,0.33,0.33,0.67,0,0,0.67,0,0,0,0.33,0,0,0,0,0,0,0.667
1065370,4,1,10,2,2,1,4,2,1,4,2,5,1200,5,128,1,240,10.67,1,0,0,0.67,0,0,0,0,0,0,0,0.33,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.667
1065450,3,0,0,0,2,0,0,5,0,0,1,2,5250,10,297.5,5,525,5.67,0.89,0,0.11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1065510,4,1,4,2,3,5,5,2,2,12,2,19,11875,44,934,2.32,269.89,7.87,0.82,0.03,0.14,0,0.67,0,0,0,0,0,0,0.33,0.25,0.08,0.67,0,0.04,0.04,0.01,0.01,0.23,0,0,0,0,0.67,0,0.669
1065600,4,3,10,1,2,4,5,3,1,10,3,19,12085,58,1381.55,3.05,208.36,11.43,0.85,0.06,0.09,0.28,0,0,0,0,0,0,0.12,0.6,0.15,0.85,0,0,0.8,0.17,0.01,0,0,0,0,0,0.01,0,0.01,0.281
1065650,3,1,10,2,3,5,5,2,1,15,4,17,10865,58,1173.5,3.41,187.33,10.8,0.89,0.05,0.06,0,0.26,0.07,0.01,0,0,0,0,0.66,0.58,0.12,0.26,0.04,0.05,0.02,0.45,0.09,0.14,0,0,0,0,0.26,0,0.262
1065660,2,3,10,2,2,7,4,3,1,19,4,15,9200,32,1792,2.13,287.5,19.48,0.84,0.11,0.05,0.62,0,0,0,0.22,0,0,0.02,0.14,0.81,0.16,0,0.02,0.72,0.02,0,0,0,0,0,0,0.26,0,0,0.62
1065710,4,3,10,2,2,4,5,2,1,10,2,7,4400,13,276.5,1.86,338.46,6.28,1,0,0,0,0.89,0,0,0,0,0,0,0.11,0.05,0.07,0.89,0,0,0.07,0,0,0.05,0,0,0,0,0.89,0,0.886
1065780,3,3,10,2,3,4,5,2,1,12,3,11,7850,16,984,1.45,490.63,12.54,0.9,0.08,0.02,0,0,0,0.15,0,0.25,0,0,0.6,0.02,0.9,0,0.09,0.24,0.07,0,0,0,0,0.69,0,0,0,0,0.248
1070040,4,1,4,2,1,3,15,1,2,15,6,21,28925,36,2026.5,1.71,803.47,7.01,0.76,0.18,0.06,0,0.56,0.01,0,0,0.01,0,0,0.42,0.01,0.27,0.56,0.17,0.32,0.01,0.02,0.01,0,0,0.01,0,0,0.56,0.07,0.56
1070070,3,3,10,2,2,5,5,1,1,18,4,15,17525,27,1232.5,1.8,649.07,7.03,0.84,0.15,0.02,0.04,0.55,0,0.03,0,0,0,0,0.38,0.02,0.1,0.55,0.33,0.43,0.03,0,0,0,0,0,0,0,0.55,0,0.548
1070140,4,3,10,2,4,1,4,4,1,5,2,4,22675,26,1300,6.5,872.12,5.73,0.85,0,0.15,0,0.97,0,0,0,0,0,0,0.03,0.01,0,0.99,0,0,0,0,0,0,0,0,0,0,0.99,0,0.966
1070270,3,2,10,2,4,4,5,4,1,15,3,15,35250,41,4698.5,2.73,859.76,13.33,0.94,0,0.06,0.88,0,0,0,0,0,0,0.01,0.11,0.37,0.63,0,0,0.91,0.01,0,0,0.07,0,0,0.01,0,0,0,0.877
1070300,1,3,10,2,4,4,7,1,1,34,5,29,20525,41,2457.5,1.41,500.61,11.97,0.93,0.07,0,0.1,0,0,0,0.01,0.02,0,0.02,0.86,0.13,0.8,0,0.07,0.24,0.63,0.06,0,0.02,0,0.02,0.03,0.01,0,0,0.097
1070310,4,3,10,2,4,1,6,1,1,10,3,7,26475,26,2810.5,3.71,1018.27,10.62,0.91,0,0.09,0.73,0,0,0,0,0,0.02,0,0.25,0.01,0.99,0,0,0.97,0,0.02,0,0.01,0,0,0,0,0,0,0.729
1070330,2,3,10,2,4,4,6,1,1,14,4,21,12350,35,1453,1.67,352.86,11.77,0.94,0.04,0.02,0,0.15,0.34,0.21,0,0,0,0,0.3,0.16,0.61,0.15,0.08,0.33,0,0.04,0.43,0.04,0,0,0.01,0,0.15,0.01,0.34
1070420,3,3,10,2,4,4,5,4,2,16,2,14,30925,48,3281,3.43,644.27,10.61,0.92,0.04,0.05,0,0,0,0,0,0.01,0,0,1,0.27,0.67,0,0.06,0.74,0,0,0.01,0.24,0,0.01,0.01,0,0,0,0.005
1070500,4,3,3,2,4,4,2,4,1,28,2,14,6825,40,748.5,2.86,170.63,10.97,1,0,0,0,0.22,0,0,0,0,0,0,0.78,0.1,0.64,0.26,0,0.02,0.02,0.58,0,0.07,0,0,0,0.04,0.26,0,0.22
1070600,4,3,10,2,4,1,4,4,0,11,7,21,20175,52,2193.5,2.48,387.98,10.87,0.84,0,0.16,0.57,0.05,0,0.07,0.01,0.01,0,0.01,0.28,0.15,0.8,0.05,0,0.79,0.01,0,0,0.12,0,0.01,0.01,0.01,0.05,0,0.565
1070660,4,3,17,2,4,3,5,4,1,10,2,10,13975,42,1527.5,4.2,332.74,10.93,0.95,0.03,0.02,0,0,0,0,0,0.01,0,0,0.99,0.24,0.76,0,0,0.73,0,0.24,0,0,0,0.01,0,0,0,0.02,0.011
1070670,3,3,10,2,3,5,7,4,2,7,5,19,14750,39,1222.75,2.05,378.21,8.29,0.9,0.1,0,0.08,0,0.01,0.01,0,0,0,0.01,0.91,0.05,0.15,0,0.8,0.91,0.03,0,0.05,0.01,0,0,0,0,0,0.01,0.075
1070790,4,3,17,2,1,7,2,4,1,17,5,17,7750,29,1046.5,1.71,267.24,13.5,0.92,0.08,0,0.03,0,0.3,0,0,0.04,0.04,0,0.6,0.12,0.8,0,0.08,0.1,0.42,0.04,0.39,0,0,0.04,0,0.02,0,0,0.3
1070880,2,3,10,2,4,4,6,1,1,14,3,11,5700,16,736,1.45,356.25,12.91,1,0,0,0,0,0,0,0,0.34,0,0.01,0.65,0.13,0.87,0,0,0.18,0.33,0,0.11,0.04,0,0.34,0.01,0,0,0,0.342
1070980,3,3,10,2,4,3,4,4,2,14,2,2,10275,24,580,12,428.13,5.64,1,0,0,0,0.98,0,0,0,0,0,0,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.978
1071010,4,3,10,2,4,3,4,4,1,18,5,15,25100,48,2770,3.2,522.92,11.04,0.92,0.08,0,0.04,0.28,0.08,0,0,0.48,0,0,0.13,0,0.68,0.31,0.01,0.08,0.06,0,0.08,0,0,0.48,0,0,0.3,0,0.475
1071090,3,3,10,2,4,4,3,4,1,15,4,19,12275,33,1352,1.74,371.97,11.01,0.81,0.05,0.14,0.47,0,0,0.27,0.01,0,0,0,0.25,0.06,0.94,0,0,0.95,0,0,0,0.03,0,0.01,0,0.01,0,0.01,0.473
1071120,2,3,6,2,4,4,7,3,1,17,2,2,26200,24,2745,12,1091.67,10.48,0.95,0.05,0,0,0,0,0.95,0,0,0,0,0.05,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.954
1071340,3,3,10,2,4,5,3,4,1,10,2,5,11700,24,753,4.8,487.5,6.44,0.91,0,0.09,0,0.86,0,0,0,0,0,0,0.14,0.01,0.13,0.86,0,0,0.13,0,0,0.01,0,0,0,0,0.86,0,0.859
1071460,1,1,4,2,4,7,6,4,1,25,2,3,26450,69,1935.5,23,383.33,7.32,1,0,0,0,0.66,0,0,0,0,0,0,0.34,0.09,0.25,0.66,0,0,0.25,0,0,0.09,0,0,0,0,0.66,0,0.664
1071500,4,3,10,2,4,4,3,4,1,21,2,15,11875,32,1291.75,2.13,371.09,10.88,0.92,0.08,0,0.3,0,0,0,0,0,0,0,0.71,0.3,0.71,0,0,0.71,0,0,0,0.3,0,0,0,0,0,0,0.295
1071560,3,3,10,2,2,5,5,3,1,21,3,10,8450,43,955.5,4.3,196.51,11.31,1,0,0,0.2,0,0.04,0,0,0,0,0,0.76,0.1,0.9,0,0,0.25,0.62,0,0.14,0,0,0,0,0,0,0,0.201
1071640,2,3,10,2,4,5,7,4,1,27,2,17,20300,34,2116,2,597.06,10.42,1,0,0,0,0,0,0.14,0,0,0,0,0.86,0.09,0.91,0,0,0.92,0,0,0,0.08,0,0,0,0,0,0,0.143
1071780,3,1,15,2,4,4,5,1,1,17,3,22,12325,56,1581,2.55,220.09,12.83,0.95,0.06,0,0,0,0,0,0.04,0,0.11,0,0.84,0.12,0.88,0,0,0,0.42,0.45,0,0,0.02,0,0.04,0.06,0,0,0.114
1071800,2,3,10,2,4,4,4,1,1,20,4,32,6825,41,870.5,1.28,166.46,12.75,0.77,0.23,0,0.15,0,0,0,0.03,0,0,0.01,0.8,0.4,0.45,0.02,0.13,0.58,0.04,0.04,0.03,0.16,0.05,0,0.04,0.03,0.02,0,0.154
1071840,1,2,10,2,4,5,9,2,1,12,7,39,20100,69,2426.75,1.77,291.3,12.07,0.91,0.03,0.06,0.05,0.13,0.08,0.29,0.01,0,0,0.13,0.32,0.33,0.55,0.13,0,0.44,0.18,0.07,0.11,0.06,0,0,0.01,0.01,0.13,0,0.289
1071910,2,1,4,2,4,7,7,2,1,35,3,5,14100,24,1485,4.8,587.5,10.53,1,0,0,0.89,0,0,0,0,0,0,0.02,0.09,0.02,0.94,0,0.04,0.98,0.02,0,0,0,0,0,0,0,0,0,0.894
1075060,4,3,10,2,4,4,9,2,1,9,3,15,22350,38,1676.5,2.53,588.16,7.5,0.86,0.12,0.02,0.08,0.09,0,0,0,0,0,0,0.83,0.07,0.08,0.1,0.75,0.87,0,0,0,0.04,0,0,0,0,0.1,0,0.087
1075130,4,3,10,2,4,4,6,2,1,14,4,24,19600,40,1836,1.67,490,9.37,0.92,0.06,0.03,0.04,0.02,0,0,0,0.2,0,0,0.74,0.25,0.3,0.23,0.22,0.43,0.02,0,0,0.13,0,0.2,0,0,0.23,0,0.195
1075200,3,1,4,2,3,5,6,2,1,20,2,8,34125,27,3650,3.38,1263.89,10.7,1,0,0,0.54,0,0,0,0,0,0,0,0.46,0.06,0.94,0,0,0.99,0,0,0,0.01,0,0,0,0,0,0,0.541
1075220,2,1,4,2,3,5,4,4,1,19,3,28,11825,32,1601.25,1.14,369.53,13.54,0.72,0.22,0.06,0.14,0,0,0,0,0,0.09,0,0.77,0.63,0.37,0,0,0.5,0.03,0.16,0.06,0.11,0.15,0,0,0,0,0,0.14
1075280,4,3,5,2,3,4,5,4,1,10,1,11,14300,38,1174,3.45,376.32,8.21,0.85,0.15,0,0,0,0,0,0,0,0,0,1,0.08,0.17,0,0.75,0.83,0.18,0,0,0,0,0,0,0,0,0,0
1075350,1,1,5,2,4,1,7,2,1,34,7,31,21175,58,3238.5,1.87,365.09,15.29,0.93,0.07,0,0.06,0.01,0,0.05,0.01,0.09,0,0.09,0.71,0.62,0.37,0.01,0,0.22,0.37,0.11,0.06,0.07,0.04,0.09,0.03,0.01,0.01,0,0.085
1075400,4,0,0,0,3,0,0,5,0,0,1,1,900,3,94.5,3,300,10.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1075420,3,1,4,2,4,3,3,4,1,15,2,10,10850,29,1168.5,2.9,374.14,10.77,1,0,0,0.66,0,0,0,0,0,0,0,0.34,0.11,0.66,0,0.23,0.94,0.06,0,0,0.01,0,0,0,0,0,0,0.657
1075520,4,3,10,2,3,3,4,4,1,12,5,15,16550,31,1655.5,2.07,533.87,10,0.96,0,0.04,0.06,0.38,0,0.28,0,0,0.03,0,0.24,0.19,0.39,0.4,0.02,0.51,0.04,0.03,0.02,0,0,0,0,0,0.4,0,0.381
1075610,2,3,14,2,3,5,5,2,1,31,5,23,7825,33,861.5,1.43,237.12,11.01,1,0,0,0.24,0.12,0.06,0.06,0,0,0,0,0.52,0.26,0.55,0.12,0.08,0.42,0.02,0.29,0.1,0.06,0,0,0,0,0.12,0,0.243
1075630,4,3,10,2,4,4,5,1,1,27,7,33,12925,62,1392.5,1.88,208.47,10.77,0.93,0.04,0.03,0.22,0.34,0.01,0.05,0.05,0,0.07,0,0.26,0.17,0.49,0.34,0.01,0.36,0.04,0.15,0.02,0,0,0,0.04,0.05,0.34,0,0.337
1075690,4,3,10,2,4,1,4,4,1,11,7,20,6375,29,697.5,1.45,219.83,10.94,0.81,0.15,0.05,0.24,0.07,0.05,0.14,0,0.11,0.02,0,0.38,0.09,0.62,0.12,0.17,0.69,0,0.02,0.07,0,0,0.11,0,0,0.12,0,0.243
1075730,3,3,10,2,3,5,5,2,1,22,3,16,15875,49,2417,3.06,323.98,15.23,0.88,0.07,0.06,0.21,0,0,0,0,0,0,0.08,0.72,0.83,0.17,0,0,0.37,0.09,0.44,0,0,0.1,0,0,0,0,0,0.205
1077110,2,1,10,1,4,5,3,4,2,16,3,7,11125,22,1196.5,3.14,505.68,10.76,0.96,0,0.05,0.8,0,0,0,0,0.04,0,0,0.16,0.01,0.99,0,0,0.95,0,0,0.01,0,0,0.04,0,0,0,0,0.8
